latitude,longtitude,depth,temperature,time
,,0.905,28.4,1782049974088
,,0.905,28.4,1782049974187
,,0.905,28.4,1782049974254
,,0.905,28.4,1782049974337
,,0.926,28.4,1782049974420
,,0.926,28.4,1782049974503
,,0.937,28.4,1782049974586
,,0.926,28.4,1782049974670
,,0.926,28.4,1782049974778
,,0.916,28.4,1782049974836
,,0.895,28.2,1782049974919
44.16175333333334,8.334925,0.885,0.0,1782049975000
,,0.885,28.2,1782049975002
,,0.885,28.2,1782049975086
,,0.874,28.2,1782049975180
,,0.885,28.2,1782049975252
,,0.874,28.2,1782049975336
,,0.874,28.2,1782049975419
,,0.864,28.2,1782049975499
,,0.864,28.2,1782049975586
,,0.874,28.2,1782049975674
,,0.874,28.2,1782049975748
,,0.874,28.2,1782049975832
,,0.885,28.2,1782049975914
,,0.895,28.2,1782049975997
44.16175333333334,8.334926666666666,0.895,0.0,1782049976000
,,0.895,28.2,1782049976080
,,0.895,28.2,1782049976163
,,0.885,28.2,1782049976246
,,0.874,28.2,1782049976329
,,0.874,28.2,1782049976412
,,0.864,28.2,1782049976495
,,0.843,28.2,1782049976579
,,0.833,28.2,1782049976661
,,0.822,28.2,1782049976744
,,0.822,28.2,1782049976827
,,0.822,28.2,1782049976910
,,0.822,28.2,1782049976993
44.16175499999999,8.334928333333332,0.822,0.0,1782049977000
,,0.822,28.2,1782049977077
,,0.833,28.2,1782049977190
,,0.843,28.2,1782049977242
,,0.864,28.2,1782049977370
,,0.885,28.2,1782049977408
,,0.905,28.2,1782049977574
,,0.916,28.2,1782049977574
,,0.937,28.2,1782049977676
,,0.926,28.2,1782049977740
,,0.926,28.2,1782049977824
,,0.905,28.2,1782049977906
,,0.916,28.2,1782049977990
44.16175833333333,8.334928333333332,0.916,0.0,1782049978000
,,0.916,28.2,1782049978072
,,0.905,28.2,1782049978162
,,0.885,28.2,1782049978238
,,0.864,28.2,1782049978321
,,0.853,28.2,1782049978424
,,0.843,28.2,1782049978487
,,0.833,28.2,1782049978570
,,0.822,28.2,1782049978653
,,0.822,28.2,1782049978737
,,0.833,28.2,1782049978821
,,0.864,28.2,1782049978904
44.16176166666667,8.334928333333332,0.853,0.0,1782049979000
,,0.853,28.2,1782049979070
,,0.853,28.2,1782049979153
,,0.874,28.2,1782049979236
,,0.874,28.2,1782049979421
,,0.905,28.2,1782049979521
,,0.926,28.2,1782049979566
,,0.937,28.2,1782049979726
,,0.947,28.2,1782049979749
,,0.947,28.2,1782049979826
,,0.957,28.2,1782049979929
,,0.957,28.2,1782049979981
44.16176,8.334930000000002,0.957,0.0,1782049980000
,,0.957,28.2,1782049980136
,,0.978,28.2,1782049980155
,,0.989,28.2,1782049980397
,,0.989,28.2,1782049980543
,,0.989,28.2,1782049980568
,,0.989,28.2,1782049980748
,,0.989,28.2,1782049980749
,,0.999,28.2,1782049980894
,,0.999,28.2,1782049980977
44.161763333333326,8.334931666666668,1.009,0.0,1782049981000
,,1.009,28.2,1782049981060
,,1.009,28.2,1782049981143
,,1.020,28.2,1782049981236
,,1.030,28.2,1782049981309
,,1.020,28.2,1782049981431
,,1.030,28.2,1782049981477
,,1.030,28.2,1782049981558
,,1.041,28.2,1782049981641
,,1.051,28.2,1782049981725
,,1.062,28.2,1782049981808
,,1.051,28.2,1782049981890
,,1.062,28.2,1782049981976
44.16176166666667,8.334930000000002,1.051,0.0,1782049982000
,,1.051,28.2,1782049982056
,,1.041,28.2,1782049982139
,,1.030,28.2,1782049982222
,,1.020,28.2,1782049982305
,,0.999,28.2,1782049982388
,,0.989,28.2,1782049982474
,,0.978,28.2,1782049982554
,,0.957,28.2,1782049982637
,,0.926,28.2,1782049982721
,,0.916,28.2,1782049982822
,,0.895,28.2,1782049982886
,,0.874,28.2,1782049982970
44.16176166666667,8.334928333333332,0.864,0.0,1782049983000
,,0.864,28.2,1782049983055
,,0.843,28.2,1782049983136
,,0.812,28.2,1782049983219
,,0.801,28.2,1782049983304
,,0.791,28.2,1782049983387
,,0.760,28.2,1782049983471
,,0.749,28.2,1782049983549
,,0.749,28.2,1782049983632
,,0.749,28.2,1782049983800
,,0.739,28.2,1782049983881
